"","name_text6","state_text6","last_digit_text6"
"478","*Brewster, Village of","Minnesota ","382"
"479","*Brewster, Village of","Ohio ","612"
"480","Bridal Veil Power & Light Co","Oregon ","660"
"481","*Bridger Valley Electric Association, Inc","Wyoming ","904"
"482","*Brigham City Corporation","Utah ","794"
"483","*Brinson, Water & Light Department, Towa of","Georgia ","106"
"484","Brockton Edison Company","Massachusetts ","322"
"485","Brockway Light, Heat & Power Co","Pennsylvania ","669"
"486","*Brocton, Village of","New York ","550"
"487","*Brodhead Water and Lighting Commission","Wisconsin ","876"
"488","Brodie Light and Power Company","South Carolina ","709"
"489","*Broken Bow, City of","Nebraska ","468"
"490","*Bronson, City of","Kansas ","246"
"491","*Brookings, City of","South Dakota ","727"
"492","Brookings Light & Power","Oregon ","655"
"493","*Brookline, Town of","Massachusetts ","336"
"494","Brooklyn Edison Company, Inc","New York ","526"
"495","*Brooklyn Municipal Electric Plant","Iowa._ ","208"
"496","*BrookIvn Utility Service Board","Indiana ","172"
"497","Brooks-Scanlon Corporation","Florida ","90"
"498","Brooks Sca.ilon Lumber Company, Inc","Oregon ","661"
"499","*Brookston Municipal Light Company","Indiana ","172"
"500","Brookville Electric Company","Indiana ","158"
"501","Brookville and Lewisburg Lighting Company, The.","Ohio ","595"
"502","*Broussard Water Works Plant","Louisiana ","290"
"504","Inc., The","Kansas ","265"
"505","Brown Co","New Hampshire ","506"
"506","*Brown County Rural Electrical Association","Minnesota ","399"
"507","Brown Electric Plant, Alex","California ","37"
"508","Brown Shoe Company","Missouri ","432"
"509","Brownell & Co., Inc","Connecticut ","76"
"510","*Brownfield Power and Light Plant","Texas ","772"
"511","*Brownsville, Department of Electricity, City of","Tennessee ","740"
"512","*Brownsville Water and Light Department","Texas ","772"
"513","*Brownton Municipal Light Plant","Minnesota ","383"
"514","Brownwood Public Service Co","Texas ","756"
"515","*Bruning, Village of","Nebraska ","468"
"516","*Brunswick Electric Membership Corporation","North Carolina ","582"
"517","Brunswick Pulp & Poper Company","Georgia ","104"
"518","*Bryan Board of Public Affairs","Ohio ","612"
"519","*Bryan Municipality, The City of","Texas ","772"
"520","*Bryant Light and Power Department","South Dakota ","728"
"521","Bryant Pond Electric Light Co","Maine ","298"
"522","Bryant Power & Light Co., R. B","Texas ","756"
"523","*Buchanan County Rural Electric Cooperative","Iowa ","228"
"524","Buckallew, Ray","Nebraska ","459"
"525","Buckeye Light & Power Company, The","Ohio ","595"
"526","*Buckeye Rural Electric Cooperative, Inc","Ohio ","628"
"527","*Buena Vista County Rural Electric Cooperative. .","Iowa ","228"
"528","Buffalo & Susquehanna Coal & Coke Co","Pennsylvania ","694"
"529","*Buffalo County Public Power District","Nebraska ","468"
"530","*Buffalo Electric Cooperative","Wisconsin ","889"
"531","*Buffalo Light & Power Department","Kansas ","247"
"532","*Buffalo Lighting Plant","Iowa ","208"
"533","*Buffalo Municipal Service Department","Minnesota ","383"
"534","Buffalo Niagara Electric Corporation","New York ","526"
"535","*Buford, City of","Georgia ","106"
"537","mission","Minnesota ","383"
"538","Buna Light and Power Company","Texas ","756"
"543","Co --","Idaho ","123"
"544","*Burbank Public Service Department","California","51"
"545","Burd's Light A Ice Plant","South Dakota ","722"
"546","Burger Light Plant","Indiana ","159"
"547","*Burke Power and Light Plant","South Dakota. ","728"
"548","*Burley Municipal Distribution System","Idaho — ","124"
"549","*Burlingame Light & Power Plant","Kansas ","247"
"550","*Burlington Electric Light Department, City of..","Vermont ","807"
"551","Burlington Light and Power Company","Oklahoma ","634"
"552","*Burlington Light & Power Plant","Kansas ","247"
"554","System","Colorado","64"
"555","Burlington Railway & Light Co","Iowa ","193"
"556","*Burt County Rural Public Power District","Nebraska ","468"
"557","*Burt, Town of","Iowa ","208"
"558","*Burt Township Light & Water Department","Michigan ... ","356"
"559","*Burwell Municipal Utilities","Nebraska ","469"
"561","pany","Florida","91"
"563","Utility","Illinois ","145"
"564","*Butler, Borough of.","New Jersey ","516"
"565","Butler Brothers","Minnesota ","378"
"566","*Butler County Rural Electric Cooperative","Iowa ","228"
"567","*Butler County Rural Public Power District","Nebraska ","468"
"568","*Butler Municipal Light & Water Service","Missouri ","433"
"569","*Butler Rural Electric Cooperative, Inc","Ohio ","628"
"571","Inc","Kansas ","265"
"572","Butte Light and Power Company","Oregon ","655"
"573","*Byron Municipal Power Plant","Illinois ","145"
"574","*Byron, Town of","Oklahoma .","641"
"576","Cache Telephone & Electric Co","Oklahoma ","634"
"577","*Caddo Electric Cooperative","Oklahoma ","651"
"578","Caddo River Lumber Company","Arkansas","31"
"579","*Cadott Light and Water Department","Wisconsin ","877"
"580","*Cairo Light & Water Department","Georgia ","106"
"581","*Caldwell, City of","Texas ","773"
"582","*Caldwell Electric Light and Water Works","Ohio ","612"
"583","*Caldwell Mutual Corporation","North Carolina ","582"
"584","*Caledonia Light & Water Department..","Minnesota ","383"
"585","*Calhoun, City of","Georgia ","106"
"587","tion, The","Iowa ","228"
"588","Calico Rock Ice & Electric Company, Inc","Arkansas","28"
"589","*Caliente Public Utilities","Nevada ","498"
"590","*California Board of Public Works","Missouri ","433"
"591","California Electric Power Company","Arizona","17"
"592","","California","38"
"593","","Nevada ","495"
"594","California Liquidating Company","California","48"
"595","California Oregon Power Company, The","California","38"
"596","","Oregon ","655"
"597","California-Pacific Utilities Company","California","38"
"598","","Nevada ","495"
"599","California Public Service Company","California","38"
"600","","Oregon ","656"
"602","ciation","Missouri ","444"
"603","Callaway Electric Co","Nebraska ","459"
"604","Callaway Mills","Georgia ","104"
"605","•Calender, Town of","Iowa ","209"
"606","Calumet Fuel Company, The","Colorado","64"
"610","Calumet and Hecla Consolidated Copper Company.","Michigan","353"
"611","Cambridge Electric Light Company","Massachusetts","322"
"612","""•Cambridge Light and Water Works","Nebraska ..","469"
"613","""Camden, Municipal Utilities, City of","South Carolina","715"
"615","Water Department, City of","Missouri","433"
"616","*Camilla Water and Light Dapartment","Georgia","107"
"617","*Campb-ill Light and Power Plant","Missouri","433"
"618","""Campbell Municipal Electric Department","Nebraska","469"
"619","Canadea Power Corporation","New York","527"
"621","&","Texas","773"
"622","""Canby Light and Water Department","Oregon","663"
